farm,harvest_type,total_harvest_stock,total_net_meat,unique_houses,harvest_days,kg_density
W03,Culls,10498,12597.6,12,1,36.51944963698041
W03,Market,299708,638498.281762049,12,5,36.51944963698041
W03,SH,52609,85136.222919476,11,3,36.51944963698041
W04,Culls,10420,12504.0,12,2,35.8608996004067
W04,Market,283362,603375.142388901,12,5,35.8608996004067
W04,SH,66533,107076.593555298,12,3,35.8608996004067
W05,Culls,10510,12612.0,12,2,36.071646623667654
W05,Market,302605,637894.17093314,12,6,36.071646623667654
W05,SH,48731,76698.225,12,2,36.071646623667654
W08,Culls,10160,12192.0,12,3,35.720968869323755
W08,Market,296510,626626.894703902,12,4,35.720968869323755
W08,SH,50238,81315.837701665,12,3,35.720968869323755
W10,Culls,10909,13090.8,12,1,37.5471947258927
W10,Market,329309,687311.615158546,12,6,37.5471947258927
W10,SH,34729,56549.030515451,10,2,37.5471947258927
W12,Culls,10420,12504.0,12,3,36.73773104835347
W12,Market,306772,647777.534743758,12,7,36.73773104835347
W12,SH,49976,80351.123191048,9,3,36.73773104835347
W13,Culls,10183,12219.6,12,1,36.26918217213234
W13,Market,310614,665022.789523809,12,7,36.26918217213234
W13,SH,32974,53944.323066379,10,2,36.26918217213234
W17,Culls,10270,12324.0,12,1,41.30699020456329
W17,Market,358321,758325.441486116,11,4,41.30699020456329
W17,SH,38661,62099.48103788,12,3,41.30699020456329
W20,Culls,9868,11841.599999999999,12,1,29.001372814771678
W20,Market,238542,499141.747321293,9,2,29.001372814771678
W20,SH,45526,73684.328624504,11,2,29.001372814771678
